model,status,started_utc,ended_utc,duration_seconds,error
Prophet Baseline,PASS,2026-08-18T01:57:47.459098+00:00,2026-08-18T01:57:51.407886+00:00,3.949,
Prophet + US Holidays,PASS,2026-08-18T01:57:51.407886+00:00,2026-08-18T01:57:52.482899+00:00,1.075,
XGBoost,PASS,2026-08-18T01:57:52.482899+00:00,2026-08-18T01:57:57.493013+00:00,5.01,
LSTM,PASS,2026-08-18T01:57:57.493013+00:00,2026-08-18T01:59:02.566761+00:00,65.074,
Holt-Winters,PASS,2026-08-18T01:59:02.566761+00:00,2026-08-18T01:59:03.243820+00:00,0.677,
