Rank,Model,MAE,RMSE,MAPE %,WMAPE %,Bias,WMAPE Accuracy Score %
1,LSTM,53.357638605670786,78.00696714825337,3.9527821933142295,4.043921636128014,-27.02188410106286,95.95607836387198
2,Holt-Winters,126.87451079822672,148.58626967572542,9.350394240621437,9.615691261786424,-126.13822582109121,90.38430873821358
3,XGBoost,153.88379758029515,167.9468289419861,11.45812731926012,11.662697876932707,-152.91985942925348,88.33730212306729
4,Prophet Baseline,249.36715464904628,258.63817891103906,18.761678632357004,18.899285245314157,-249.36715464904628,81.10071475468584
5,Prophet + US Holidays,251.605359393961,260.56555203872625,18.93967493656546,19.068916526430918,-251.605359393961,80.93108347356909
